Source,Name,Blackbody Temperature (K),Luminosity (erg/s),Inner Radius (lg(cm)),Outer Radius (lg(cm)),Hden (cm-3)
SDSS,spec-58224-HD134345N224201M02_sp01-090.fits.gz_residual_highpass.txt,15000.0,26.0,11.0,16.0,9.0
SDSS,spec-57092-GAC115N41M1_sp12-006.fits.gz_residual_highpass.txt,21000.0,38.0,11.0,13.0,9.0
SDSS,spec-57869-HD125932N280356M02_sp05-203.fits.gz_residual_highpass.txt,24000.0,25.0,6.0,7.0,9.0
SDSS,spec-58076-GAC118N12M1_sp07-021.fits.gz_residual_highpass.txt,29000.0,35.0,13.0,14.0,5.0
SDSS,spec-55939-GAC_100N28_B1_sp08-076.fits.gz_residual_highpass.txt,18000.0,34.0,13.0,14.0,19.0
SDSS,spec-56957-GAC093N17M1_sp01-015.fits.gz_residual_highpass.txt,15000.0,32.0,9.0,16.0,9.0
SDSS,spec-58967-TD104903N100928K01_sp06-113.fits.gz_residual_highpass.txt,19000.0,22.0,7.0,8.0,15.0
SDSS,spec-58518-HD090744N104005M01_sp07-154.fits.gz_residual_highpass.txt,14000.0,32.0,12.0,13.0,11.0
SDSS,spec-59224-TD084656N120635K01_sp15-231.fits.gz_residual_highpass.txt,35000.0,29.0,9.0,11.0,9.0
SDSS,spec-58879-HD091212N035201M02_sp01-189.fits.gz_residual_highpass.txt,15000.0,21.0,8.0,9.0,11.0
SDSS,spec-58930-TD104903N100928K01_sp06-113.fits.gz_residual_highpass.txt,15000.0,23.0,10.0,13.0,11.0
SDSS,spec-56679-EG023131N032619B05_sp09-016.fits.gz_residual_highpass.txt,24000.0,29.0,7.0,13.0,9.0
SDSS,spec-56976-M31028N29B1_sp13-006.fits.gz_residual_highpass.txt,34000.0,29.0,9.0,10.0,9.0
SDSS,spec-56661-GAC061N34B1_sp07-028.fits.gz_residual_highpass.txt,15000.0,32.0,9.0,16.0,9.0
SDSS,spec-59167-KII050434N152414B01_sp10-129.fits.gz_residual_highpass.txt,20000.0,31.0,12.0,16.0,13.0
SDSS,spec-58017-GACII351N42M1_sp13-212.fits.gz_residual_highpass.txt,25000.0,35.0,13.0,14.0,17.0
SDSS,spec-57696-EG024221N200041M01_sp04-181.fits.gz_residual_highpass.txt,29000.0,33.0,12.0,16.0,5.0
SDSS,spec-55953-GAC_089N28_M2_sp15-068.fits.gz_residual_highpass.txt,17000.0,40.0,12.0,13.0,7.0
SDSS,spec-59192-HD074946N150623V01_sp04-096.fits.gz_residual_highpass.txt,27000.0,26.0,6.0,7.0,9.0
SDSS,spec-56958-M31017N47B1_sp11-077.fits.gz_residual_highpass.txt,15000.0,32.0,9.0,16.0,9.0
SDSS,spec-58102-EG014125N052915B01_sp16-075.fits.gz_residual_highpass.txt,15000.0,26.0,11.0,16.0,9.0
SDSS,spec-58404-GACII032N37M1_sp04-149.fits.gz_residual_highpass.txt,34000.0,29.0,9.0,10.0,9.0
SDSS,spec-56957-GAC093N17M1_sp05-163.fits.gz_residual_highpass.txt,13000.0,32.0,13.0,14.0,9.0
SDSS,spec-57313-GAC081N15M1_sp10-008.fits.gz_residual_highpass.txt,29000.0,31.0,11.0,14.0,5.0
SDSS,spec-58464-HD002045N325440B02_sp11-105.fits.gz_residual_highpass.txt,21000.0,38.0,14.0,15.0,11.0
SDSS,spec-58461-GAC080N28M1_sp15-066.fits.gz_residual_highpass.txt,29000.0,30.0,8.0,13.0,11.0
SDSS,spec-55923-GAC_105N29_M1_sp14-224.fits.gz_residual_highpass.txt,29000.0,35.0,13.0,15.0,5.0
SDSS,spec-58515-HD084649N380231M02_sp12-161.fits.gz_residual_highpass.txt,36000.0,21.0,6.0,8.0,7.0
SDSS,spec-56973-HD224534N302633B01_sp04-033.fits.gz_residual_highpass.txt,16000.0,31.0,12.0,14.0,11.0
SDSS,spec-57516-HD184435N434959B01_sp04-145.fits.gz_residual_highpass.txt,16000.0,25.0,8.0,9.0,13.0
SDSS,spec-58105-HD093959N532949M02_sp08-206.fits.gz_residual_highpass.txt,12000.0,31.0,10.0,13.0,11.0
SDSS,spec-56949-HD213239N421743V01_sp12-155.fits.gz_residual_highpass.txt,21000.0,26.0,11.0,15.0,13.0
SDSS,spec-57497-HD175440N181108V01_sp06-027.fits.gz_residual_highpass.txt,15000.0,30.0,12.0,14.0,9.0
SDSS,spec-56993-EG013501N290602B01_sp15-240.fits.gz_residual_highpass.txt,25000.0,27.0,7.0,8.0,9.0
SDSS,spec-56628-HD085527N262435M01_sp12-134.fits.gz_residual_highpass.txt,25000.0,31.0,13.0,15.0,13.0
SDSS,spec-58906-TD104903N100928K01_sp06-113.fits.gz_residual_highpass.txt,14000.0,20.0,12.0,16.0,9.0
SDSS,spec-57392-GAC092N13M1_sp15-034.fits.gz_residual_highpass.txt,20000.0,37.0,15.0,16.0,13.0
SDSS,spec-57888-HD154717N140655B01_sp04-022.fits.gz_residual_highpass.txt,33000.0,24.0,10.0,12.0,9.0
SDSS,spec-58837-TD104903N100928K01_sp06-113.fits.gz_residual_highpass.txt,34000.0,33.0,11.0,13.0,7.0
SDSS,spec-57068-HD100153N235852M01_sp08-061.fits.gz_residual_highpass.txt,12000.0,29.0,9.0,10.0,13.0
SDSS,spec-57423-GAC096N11B1_sp07-028.fits.gz_residual_highpass.txt,26000.0,32.0,9.0,12.0,9.0
SDSS,spec-58937-HD150616N543322M02_sp03-145.fits.gz_residual_highpass.txt,15000.0,29.0,13.0,14.0,7.0
SDSS,spec-57313-GAC053N42M1_sp15-021.fits.gz_residual_highpass.txt,24000.0,27.0,7.0,9.0,9.0
SDSS,spec-57045-GAC106N28M1_sp02-070.fits.gz_residual_highpass.txt,15000.0,22.0,9.0,13.0,11.0
SDSS,spec-55890-GAC_106N28_M1_sp02-059.fits.gz_residual_highpass.txt,32000.0,25.0,7.0,11.0,9.0
SDSS,spec-55859-F5909_sp12-121.fits.gz_residual_highpass.txt,22000.0,29.0,7.0,8.0,9.0
SDSS,spec-56256-VB006N25V2_sp09-065.fits.gz_residual_highpass.txt,12000.0,29.0,9.0,10.0,13.0
SDSS,spec-56369-HD090808N144241M01_sp14-062.fits.gz_residual_highpass.txt,32000.0,25.0,8.0,11.0,7.0
SDSS,spec-58784-GACII000N48M1_sp16-088.fits.gz_residual_highpass.txt,27000.0,30.0,12.0,16.0,11.0
SDSS,spec-57697-GAC052N20B1_sp09-010.fits.gz_residual_highpass.txt,28000.0,32.0,9.0,10.0,9.0
SDSS,spec-55887-B8704_sp08-017.fits.gz_residual_highpass.txt,15000.0,26.0,11.0,16.0,9.0
SDSS,spec-58136-HD084620N203659M02_sp14-236.fits.gz_residual_highpass.txt,19000.0,26.0,11.0,12.0,13.0
SDSS,spec-56978-EG021841N081050M01_sp07-242.fits.gz_residual_highpass.txt,26000.0,31.0,9.0,13.0,9.0
SDSS,spec-57697-HD214208N454556B01_sp05-202.fits.gz_residual_highpass.txt,27000.0,22.0,6.0,10.0,7.0
SDSS,spec-57310-M31025N38B1_sp06-250.fits.gz_residual_highpass.txt,32000.0,29.0,10.0,12.0,7.0
SDSS,spec-57815-GAC094N47B1_sp03-222.fits.gz_residual_highpass.txt,26000.0,28.0,7.0,8.0,9.0
SDSS,spec-57747-HD110955N323152M02_sp16-116.fits.gz_residual_highpass.txt,13000.0,31.0,12.0,15.0,11.0
SDSS,spec-56310-GAC040N27B1_sp08-009.fits.gz_residual_highpass.txt,15000.0,30.0,12.0,14.0,9.0
SDSS,spec-57695-M31007N41M1_sp12-249.fits.gz_residual_highpass.txt,24000.0,29.0,7.0,13.0,9.0
SDSS,spec-57719-HD091735N272519M02_sp15-206.fits.gz_residual_highpass.txt,22000.0,27.0,6.0,9.0,9.0
SDSS,spec-55886-GAC_063022N281243_M1_sp02-178.fits.gz_residual_highpass.txt,33000.0,28.0,7.0,11.0,11.0
SDSS,spec-57015-M31007N33B1_sp16-096.fits.gz_residual_highpass.txt,32000.0,31.0,11.0,15.0,7.0
SDSS,spec-57137-HD162301N323735M01_sp09-046.fits.gz_residual_highpass.txt,15000.0,29.0,12.0,13.0,9.0
SDSS,spec-58492-GACII055N63M1_sp02-115.fits.gz_residual_highpass.txt,21000.0,31.0,8.0,10.0,9.0
SDSS,spec-57313-GAC053N42M1_sp10-047.fits.gz_residual_highpass.txt,25000.0,27.0,7.0,8.0,9.0
SDSS,spec-57421-HD095348N144420M01_sp10-034.fits.gz_residual_highpass.txt,25000.0,27.0,7.0,8.0,9.0
SDSS,spec-56979-EG014118N254444B01_sp05-100.fits.gz_residual_highpass.txt,24000.0,29.0,7.0,9.0,9.0
SDSS,spec-58040-GACII004N36M1_sp01-085.fits.gz_residual_highpass.txt,12000.0,31.0,8.0,10.0,9.0
SDSS,spec-58081-GAC081N11M1_sp07-214.fits.gz_residual_highpass.txt,29000.0,26.0,6.0,11.0,11.0
SDSS,spec-55918-GAC_082N29_M1_sp07-186.fits.gz_residual_highpass.txt,15000.0,32.0,9.0,16.0,9.0
SDSS,spec-57753-HD124411S025033M01_sp10-172.fits.gz_residual_highpass.txt,15000.0,22.0,10.0,15.0,13.0
SDSS,spec-58879-TD104903N100928K01_sp06-113.fits.gz_residual_highpass.txt,38000.0,25.0,13.0,14.0,17.0
SDSS,spec-56326-HD090902N172810M01_sp15-047.fits.gz_residual_highpass.txt,30000.0,27.0,10.0,13.0,11.0
SDSS,spec-57280-KP192314N471144B02_sp01-006.fits.gz_residual_highpass.txt,18000.0,34.0,13.0,14.0,19.0
SDSS,spec-57015-M31007N33B1_sp07-168.fits.gz_residual_highpass.txt,28000.0,32.0,9.0,10.0,9.0
SDSS,spec-58099-HD082820N494114M02_sp16-151.fits.gz_residual_highpass.txt,13000.0,21.0,13.0,14.0,5.0
SDSS,spec-59226-KII050434N152414B02_sp10-129.fits.gz_residual_highpass.txt,31000.0,26.0,7.0,9.0,9.0
SDSS,spec-58929-HD092329N074249M02_sp04-054.fits.gz_residual_highpass.txt,17000.0,37.0,14.0,16.0,11.0
SDSS,spec-57062-HD101607S013552B01_sp01-163.fits.gz_residual_highpass.txt,12000.0,31.0,8.0,10.0,9.0
SDSS,spec-58908-HD094225N484633B02_sp16-084.fits.gz_residual_highpass.txt,27000.0,30.0,8.0,11.0,9.0
SDSS,spec-57387-GAC059N38B1_sp11-190.fits.gz_residual_highpass.txt,21000.0,38.0,11.0,13.0,9.0
SDSS,spec-55899-GAC_083N28_M1_sp01-221.fits.gz_residual_highpass.txt,28000.0,34.0,10.0,11.0,9.0
SDSS,spec-57024-HD110713N101244B_sp10-179.fits.gz_residual_highpass.txt,32000.0,29.0,10.0,12.0,7.0
SDSS,spec-57754-GAC110N45M1_sp04-160.fits.gz_residual_highpass.txt,15000.0,26.0,12.0,15.0,5.0
SDSS,spec-55909-M31_019N31_B1_sp07-171.fits.gz_residual_highpass.txt,18000.0,33.0,9.0,10.0,9.0
SDSS,spec-56952-M31005N35M1_sp03-014.fits.gz_residual_highpass.txt,25000.0,27.0,7.0,8.0,9.0
SDSS,spec-56326-HD090902N172810B01_sp15-047.fits.gz_residual_highpass.txt,15000.0,32.0,9.0,16.0,9.0
SDSS,spec-56267-EG011927N271550M01_sp14-105.fits.gz_residual_highpass.txt,12000.0,31.0,10.0,13.0,11.0
SDSS,spec-56751-VB138N06V1_sp11-208.fits.gz_residual_highpass.txt,40000.0,27.0,7.0,9.0,15.0
SDSS,spec-57298-KP192314N471144V02_sp07-188.fits.gz_residual_highpass.txt,27000.0,28.0,9.0,14.0,7.0
SDSS,spec-57422-GAC095N44M1_sp12-104.fits.gz_residual_highpass.txt,15000.0,23.0,9.0,15.0,11.0
SDSS,spec-55976-F5597612_sp06-206.fits.gz_residual_highpass.txt,20000.0,23.0,6.0,7.0,7.0
SDSS,spec-58047-GACII320N38M1_sp10-181.fits.gz_residual_highpass.txt,15000.0,31.0,13.0,15.0,9.0
SDSS,spec-57869-HD165712N321400M02_sp09-243.fits.gz_residual_highpass.txt,16000.0,27.0,10.0,14.0,13.0
SDSS,spec-57014-M31020N36M2_sp12-087.fits.gz_residual_highpass.txt,15000.0,27.0,12.0,14.0,11.0
SDSS,spec-57696-GAC100N44M1_sp14-145.fits.gz_residual_highpass.txt,17000.0,23.0,8.0,13.0,13.0
SDSS,spec-57867-HD132545N565813M02_sp05-074.fits.gz_residual_highpass.txt,20000.0,22.0,8.0,16.0,11.0
SDSS,spec-59192-TD084656N120635K01_sp15-231.fits.gz_residual_highpass.txt,29000.0,28.0,8.0,9.0,9.0
SDSS,spec-56769-HD150715N223351B_sp13-172.fits.gz_residual_highpass.txt,18000.0,35.0,10.0,11.0,9.0
SDSS,spec-56604-GAC106N20B1_sp02-052.fits.gz_residual_highpass.txt,20000.0,25.0,7.0,9.0,7.0
SDSS,spec-56937-GAC073N19B1_sp08-080.fits.gz_residual_highpass.txt,12000.0,31.0,8.0,12.0,9.0
SDSS,spec-57397-HD094225N484633M01_sp02-192.fits.gz_residual_highpass.txt,23000.0,33.0,9.0,11.0,9.0
SDSS,spec-56362-GAC113N27M1_sp07-133.fits.gz_residual_highpass.txt,13000.0,23.0,11.0,12.0,17.0
SDSS,spec-58105-GACII018N60B1_sp05-067.fits.gz_residual_highpass.txt,28000.0,24.0,7.0,8.0,7.0
SDSS,spec-58432-GACII353N50M1_sp10-108.fits.gz_residual_highpass.txt,27000.0,28.0,9.0,14.0,7.0
SDSS,spec-56596-EG023131N032619B02_sp09-016.fits.gz_residual_highpass.txt,15000.0,31.0,12.0,13.0,11.0
SDSS,spec-58993-HD152628N520309M02_sp06-181.fits.gz_residual_highpass.txt,15000.0,20.0,9.0,16.0,9.0
SDSS,spec-56628-EG023131N032619B03_sp09-016.fits.gz_residual_highpass.txt,15000.0,21.0,11.0,16.0,9.0
SDSS,spec-56597-GAC069N36B1_sp04-194.fits.gz_residual_highpass.txt,18000.0,28.0,12.0,16.0,13.0
SDSS,spec-55907-B90706_sp16-016.fits.gz_residual_highpass.txt,18000.0,33.0,9.0,10.0,9.0
SDSS,spec-56599-EG224840N075042B01_sp07-033.fits.gz_residual_highpass.txt,25000.0,25.0,10.0,14.0,13.0
SDSS,spec-57724-GAC061N50M1_sp01-102.fits.gz_residual_highpass.txt,24000.0,29.0,7.0,13.0,9.0
SDSS,spec-58130-K2QSOB01_sp08-242.fits.gz_residual_highpass.txt,19000.0,29.0,7.0,8.0,9.0
SDSS,spec-58930-TD084656N120635K01_sp15-231.fits.gz_residual_highpass.txt,31000.0,24.0,6.0,9.0,9.0
SDSS,spec-58783-HD064550S004259B02_sp14-103.fits.gz_residual_highpass.txt,31000.0,25.0,7.0,10.0,9.0
SDSS,spec-57821-HD094623N014708B02_sp11-152.fits.gz_residual_highpass.txt,20000.0,21.0,7.0,9.0,23.0
SDSS,spec-55951-GAC_080N28_M1_sp09-221.fits.gz_residual_highpass.txt,40000.0,27.0,7.0,9.0,15.0
SDSS,spec-58136-GAC105N57M1_sp13-222.fits.gz_residual_highpass.txt,24000.0,31.0,9.0,13.0,9.0
SDSS,spec-57297-HD014422N323057B01_sp10-066.fits.gz_residual_highpass.txt,17000.0,21.0,13.0,14.0,11.0
SDSS,spec-58988-HD162945N351206M01_sp02-070.fits.gz_residual_highpass.txt,19000.0,36.0,10.0,14.0,9.0
SDSS,spec-55910-GAC_078N28_B1_sp12-121.fits.gz_residual_highpass.txt,20000.0,22.0,6.0,11.0,15.0
SDSS,spec-56667-GAC066N34B1_sp11-066.fits.gz_residual_highpass.txt,27000.0,27.0,7.0,8.0,9.0
SDSS,spec-55910-GAC_078N28_B1_sp08-077.fits.gz_residual_highpass.txt,35000.0,23.0,6.0,10.0,9.0
SDSS,spec-56656-GAC061N32M1_sp06-230.fits.gz_residual_highpass.txt,15000.0,21.0,8.0,9.0,11.0
SDSS,spec-57691-EG024221N200041M01_sp04-181.fits.gz_residual_highpass.txt,15000.0,25.0,10.0,12.0,11.0
SDSS,spec-55949-GAC_063N29_M1_sp15-210.fits.gz_residual_highpass.txt,15000.0,24.0,9.0,10.0,9.0
SDSS,spec-58102-EG014125N052915B01_sp15-107.fits.gz_residual_highpass.txt,13000.0,31.0,12.0,15.0,11.0
SDSS,spec-57356-EG031039N215333V01_sp16-156.fits.gz_residual_highpass.txt,22000.0,29.0,7.0,11.0,9.0
SDSS,spec-56957-GAC093N17M1_sp01-058.fits.gz_residual_highpass.txt,13000.0,31.0,8.0,10.0,9.0
SDSS,spec-56685-HD104953N275826M01_sp12-250.fits.gz_residual_highpass.txt,19000.0,29.0,12.0,13.0,13.0
SDSS,spec-55915-F5591504_sp14-130.fits.gz_residual_highpass.txt,15000.0,25.0,11.0,13.0,9.0
SDSS,spec-58867-TD084656N120635K01_sp15-231.fits.gz_residual_highpass.txt,31000.0,26.0,6.0,7.0,11.0
SDSS,spec-56685-HD104953N275826M01_sp13-092.fits.gz_residual_highpass.txt,20000.0,22.0,6.0,11.0,15.0
SDSS,spec-57687-EG231746N163252M01_sp03-215.fits.gz_residual_highpass.txt,20000.0,25.0,7.0,9.0,7.0
SDSS,spec-57016-HD084531N282643M01_sp03-007.fits.gz_residual_highpass.txt,25000.0,35.0,10.0,15.0,9.0
SDSS,spec-56679-GAC078N31B1_sp04-128.fits.gz_residual_highpass.txt,24000.0,33.0,13.0,14.0,19.0
SDSS,spec-56393-HD172143N395828M01_sp15-167.fits.gz_residual_highpass.txt,13000.0,26.0,10.0,15.0,13.0
SDSS,spec-56328-GAC046N25B1_sp01-076.fits.gz_residual_highpass.txt,30000.0,32.0,10.0,15.0,9.0
SDSS,spec-57419-HD092731N424551B01_sp15-018.fits.gz_residual_highpass.txt,29000.0,26.0,7.0,9.0,9.0
SDSS,spec-56200-EG220318S020919V_1_sp07-056.fits.gz_residual_highpass.txt,24000.0,30.0,8.0,9.0,9.0
SDSS,spec-56404-HD114750N494922B01_sp06-020.fits.gz_residual_highpass.txt,18000.0,36.0,11.0,13.0,9.0
SDSS,spec-57398-GAC056N42B1_sp03-090.fits.gz_residual_highpass.txt,15000.0,33.0,15.0,16.0,7.0
SDSS,spec-58937-TD084656N120635K01_sp15-231.fits.gz_residual_highpass.txt,29000.0,24.0,7.0,8.0,7.0
SDSS,spec-57487-HD103613N134846M01_sp12-097.fits.gz_residual_highpass.txt,21000.0,38.0,11.0,13.0,9.0
SDSS,spec-56601-EG003603N070921M01_sp13-243.fits.gz_residual_highpass.txt,15000.0,21.0,11.0,16.0,9.0
SDSS,spec-56301-HD081044N520834M01_sp05-237.fits.gz_residual_highpass.txt,23000.0,33.0,9.0,12.0,9.0
SDSS,spec-56443-HD182107N494331M01_sp03-169.fits.gz_residual_highpass.txt,19000.0,20.0,7.0,16.0,11.0
SDSS,spec-57046-GAC075N39M1_sp05-020.fits.gz_residual_highpass.txt,15000.0,22.0,10.0,15.0,13.0
SDSS,spec-57897-HD171048N321044M02_sp04-229.fits.gz_residual_highpass.txt,15000.0,25.0,12.0,14.0,5.0
SDSS,spec-56572-HD022809N294009V01_sp02-053.fits.gz_residual_highpass.txt,15000.0,24.0,12.0,13.0,11.0
SDSS,spec-57302-EG213118N034906V01_sp16-097.fits.gz_residual_highpass.txt,24000.0,29.0,7.0,9.0,9.0
SDSS,spec-56230-EG222106N010205V01_sp15-176.fits.gz_residual_highpass.txt,24000.0,30.0,8.0,12.0,9.0
SDSS,spec-57330-M31019N33M1_sp16-247.fits.gz_residual_highpass.txt,30000.0,27.0,10.0,11.0,11.0
SDSS,spec-57031-HD064137N355554V01_sp01-198.fits.gz_residual_highpass.txt,14000.0,23.0,14.0,15.0,5.0
SDSS,spec-56966-GAC120N18B1_sp01-037.fits.gz_residual_highpass.txt,15000.0,23.0,10.0,13.0,11.0
SDSS,spec-56232-M31007N36B1_sp02-147.fits.gz_residual_highpass.txt,32000.0,29.0,9.0,13.0,9.0
SDSS,spec-59164-HD075207N031638B02_sp14-019.fits.gz_residual_highpass.txt,38000.0,24.0,9.0,16.0,5.0
SDSS,spec-57039-GAC105N24M1_sp11-104.fits.gz_residual_highpass.txt,28000.0,32.0,9.0,12.0,9.0
SDSS,spec-56201-EG012420S065452V01_sp02-086.fits.gz_residual_highpass.txt,15000.0,32.0,9.0,14.0,11.0
SDSS,spec-56255-VB007N33V2_sp16-096.fits.gz_residual_highpass.txt,28000.0,32.0,11.0,12.0,7.0
SDSS,spec-57394-HD081205N465629M01_sp07-194.fits.gz_residual_highpass.txt,40000.0,29.0,10.0,11.0,11.0
SDSS,spec-56206-M31016N43B1_sp03-156.fits.gz_residual_highpass.txt,16000.0,31.0,12.0,14.0,11.0
SDSS,spec-57384-GAC052N20B1_sp09-010.fits.gz_residual_highpass.txt,15000.0,30.0,12.0,14.0,9.0
SDSS,spec-57367-GAC100N13M1_sp10-237.fits.gz_residual_highpass.txt,19000.0,35.0,10.0,11.0,9.0
SDSS,spec-56581-GAC081N30M1_sp05-082.fits.gz_residual_highpass.txt,27000.0,35.0,11.0,13.0,9.0
SDSS,spec-57779-HD031226N474333B01_sp04-181.fits.gz_residual_highpass.txt,13000.0,31.0,12.0,15.0,11.0
SDSS,spec-58068-EG021402N263737M01_sp08-212.fits.gz_residual_highpass.txt,12000.0,24.0,11.0,12.0,17.0
SDSS,spec-59195-HD114640S034432V01_sp05-170.fits.gz_residual_highpass.txt,32000.0,31.0,11.0,13.0,7.0
SDSS,spec-58464-GACII033N58M1_sp05-092.fits.gz_residual_highpass.txt,24000.0,30.0,8.0,9.0,9.0
SDSS,spec-59263-HD125855N172433M02_sp13-248.fits.gz_residual_highpass.txt,20000.0,35.0,10.0,15.0,9.0
SDSS,spec-57302-EG213118N034906B01_sp12-025.fits.gz_residual_highpass.txt,22000.0,29.0,7.0,9.0,9.0
SDSS,spec-58136-GAC071N47M1_sp12-182.fits.gz_residual_highpass.txt,14000.0,31.0,12.0,14.0,11.0
SDSS,spec-55917-F5591705_sp04-116.fits.gz_residual_highpass.txt,15000.0,33.0,13.0,16.0,11.0
SDSS,spec-57871-HD152645N051412B01_sp16-216.fits.gz_residual_highpass.txt,35000.0,25.0,11.0,13.0,15.0
SDSS,spec-57690-GAC058N31B1_sp13-060.fits.gz_residual_highpass.txt,15000.0,36.0,15.0,16.0,7.0
SDSS,spec-58815-TD104903N100928K01_sp06-113.fits.gz_residual_highpass.txt,19000.0,28.0,10.0,14.0,13.0
SDSS,spec-57811-HD102408N334306M02_sp03-212.fits.gz_residual_highpass.txt,14000.0,29.0,6.0,7.0,13.0
SDSS,spec-57401-GAC098N14M2_sp04-155.fits.gz_residual_highpass.txt,32000.0,31.0,11.0,13.0,7.0
SDSS,spec-55859-M5904_sp09-133.fits.gz_residual_highpass.txt,13000.0,31.0,12.0,15.0,11.0
SDSS,spec-57695-GAC077S03M1_sp13-014.fits.gz_residual_highpass.txt,15000.0,21.0,9.0,15.0,11.0
SDSS,spec-57362-EG043159S042253M01_sp06-029.fits.gz_residual_highpass.txt,18000.0,29.0,7.0,8.0,9.0
SDSS,spec-57367-EG025805N204007M01_sp16-127.fits.gz_residual_highpass.txt,15000.0,21.0,11.0,16.0,9.0
SDSS,spec-55951-GAC_080N28_M1_sp15-066.fits.gz_residual_highpass.txt,21000.0,38.0,14.0,15.0,11.0
SDSS,spec-59283-HD063420S025420V02_sp03-245.fits.gz_residual_highpass.txt,27000.0,27.0,7.0,8.0,9.0
SDSS,spec-58154-GAC092N13B1_sp12-035.fits.gz_residual_highpass.txt,15000.0,30.0,13.0,15.0,7.0
SDSS,spec-58096-GACII004N36M1_sp07-039.fits.gz_residual_highpass.txt,21000.0,37.0,15.0,16.0,19.0
SDSS,spec-58402-HD060953N145109V01_sp13-244.fits.gz_residual_highpass.txt,22000.0,29.0,7.0,9.0,9.0
SDSS,spec-58096-GACII004N36M1_sp01-085.fits.gz_residual_highpass.txt,19000.0,22.0,7.0,8.0,15.0
SDSS,spec-56266-M31007N41B1_sp11-206.fits.gz_residual_highpass.txt,25000.0,23.0,8.0,15.0,19.0
SDSS,spec-57046-HD082820N494114M01_sp06-099.fits.gz_residual_highpass.txt,15000.0,26.0,12.0,13.0,13.0
SDSS,spec-57313-GAC081N15M1_sp12-046.fits.gz_residual_highpass.txt,29000.0,35.0,13.0,15.0,5.0
SDSS,spec-57308-EG214339N073143M01_sp01-250.fits.gz_residual_highpass.txt,28000.0,21.0,7.0,12.0,19.0
SDSS,spec-57695-EG022616N061733M01_sp03-167.fits.gz_residual_highpass.txt,25000.0,23.0,8.0,15.0,19.0
SDSS,spec-56220-EG223221N023509F01_sp07-190.fits.gz_residual_highpass.txt,27000.0,24.0,7.0,12.0,7.0
SDSS,spec-56692-GAC109N30B1_sp16-178.fits.gz_residual_highpass.txt,34000.0,29.0,9.0,11.0,9.0
SDSS,spec-59169-S82004N00B1_sp16-009.fits.gz_residual_highpass.txt,22000.0,29.0,7.0,11.0,9.0
SDSS,spec-56394-HD132901N475049M01_sp13-119.fits.gz_residual_highpass.txt,17000.0,37.0,11.0,12.0,9.0
SDSS,spec-57688-HD002813N442340V01_sp02-069.fits.gz_residual_highpass.txt,32000.0,27.0,9.0,11.0,7.0
SDSS,spec-57325-EG214033N103644B01_sp11-035.fits.gz_residual_highpass.txt,12000.0,31.0,10.0,14.0,11.0
SDSS,spec-57031-EG024121N042539V01_sp10-209.fits.gz_residual_highpass.txt,24000.0,23.0,8.0,14.0,23.0
SDSS,spec-57076-HD083415N451147M01_sp14-247.fits.gz_residual_highpass.txt,25000.0,35.0,10.0,15.0,9.0
SDSS,spec-58849-TD084656N120635K01_sp15-231.fits.gz_residual_highpass.txt,15000.0,25.0,10.0,13.0,9.0
SDSS,spec-56267-GAC065N31M1_sp14-069.fits.gz_residual_highpass.txt,32000.0,25.0,8.0,11.0,7.0
SDSS,spec-56304-GAC094N27M1_sp08-093.fits.gz_residual_highpass.txt,27000.0,26.0,8.0,10.0,7.0
SDSS,spec-57425-KP084656N120635B01_sp06-155.fits.gz_residual_highpass.txt,24000.0,29.0,7.0,9.0,9.0
SDSS,spec-57356-EG231359N193802B01_sp16-147.fits.gz_residual_highpass.txt,22000.0,33.0,9.0,10.0,9.0
SDSS,spec-57356-EG231359N193802V01_sp07-148.fits.gz_residual_highpass.txt,13000.0,26.0,10.0,15.0,13.0
SDSS,spec-58136-HD084620N203659M02_sp16-082.fits.gz_residual_highpass.txt,15000.0,23.0,10.0,13.0,11.0
SDSS,spec-55910-GAC_078N28_B1_sp15-066.fits.gz_residual_highpass.txt,32000.0,25.0,8.0,11.0,7.0
SDSS,spec-57369-HD094138N255446M01_sp11-014.fits.gz_residual_highpass.txt,32000.0,31.0,11.0,15.0,7.0
SDSS,spec-58074-GACII016N43B1_sp03-078.fits.gz_residual_highpass.txt,22000.0,29.0,7.0,10.0,9.0
SDSS,spec-56249-GAC079N24M1_sp13-094.fits.gz_residual_highpass.txt,29000.0,26.0,6.0,11.0,11.0
SDSS,spec-57783-HD112935N034647M01_sp13-199.fits.gz_residual_highpass.txt,22000.0,27.0,6.0,9.0,9.0
SDSS,spec-58017-GACII305N07B1_sp08-191.fits.gz_residual_highpass.txt,28000.0,32.0,11.0,12.0,7.0
SDSS,spec-56393-HD172143N395828M01_sp04-097.fits.gz_residual_highpass.txt,17000.0,21.0,13.0,14.0,11.0
SDSS,spec-56310-GAC105N24B1_sp14-229.fits.gz_residual_highpass.txt,21000.0,31.0,8.0,10.0,9.0
SDSS,spec-58844-HD090808N144241M02_sp11-123.fits.gz_residual_highpass.txt,18000.0,36.0,11.0,13.0,9.0
SDSS,spec-58075-KII033826N150858B01_sp13-195.fits.gz_residual_highpass.txt,29000.0,34.0,15.0,16.0,15.0
SDSS,spec-56423-HD155304N411742M01_sp13-026.fits.gz_residual_highpass.txt,20000.0,29.0,11.0,13.0,13.0
