Source,Name,Blackbody Temperature (K),Luminosity (erg/s),Inner Radius (lg(cm)),Outer Radius (lg(cm)),Hden (cm-3)
SDSS,spec-58105-GACII048N59M1_sp12-079.fits.gz_residual_highpass.txt,13000.0,29.0,7.0,12.0,9.0
SDSS,spec-56965-GAC081N30B2_sp09-001.fits.gz_residual_highpass.txt,19000.0,33.0,13.0,15.0,11.0
SDSS,spec-57871-HD132901N475049M02_sp13-139.fits.gz_residual_highpass.txt,20000.0,23.0,6.0,7.0,7.0
SDSS,spec-56308-HD084531N282643F01_sp03-007.fits.gz_residual_highpass.txt,32000.0,31.0,11.0,13.0,7.0
SDSS,spec-57054-HD045554N450205V01_sp12-248.fits.gz_residual_highpass.txt,31000.0,26.0,7.0,8.0,9.0
SDSS,spec-55976-F5597602_sp16-002.fits.gz_residual_highpass.txt,25000.0,31.0,13.0,15.0,13.0
SDSS,spec-57378-GAC120N14B1_sp16-175.fits.gz_residual_highpass.txt,27000.0,32.0,9.0,11.0,9.0
SDSS,spec-58081-GAC113N27M1_sp07-138.fits.gz_residual_highpass.txt,24000.0,29.0,7.0,13.0,9.0
SDSS,spec-57393-M31025N38B2_sp08-154.fits.gz_residual_highpass.txt,28000.0,21.0,7.0,12.0,19.0
SDSS,spec-56249-GAC079N24M1_sp09-071.fits.gz_residual_highpass.txt,24000.0,29.0,7.0,8.0,9.0
SDSS,spec-57721-M31025N38M1_sp14-179.fits.gz_residual_highpass.txt,15000.0,29.0,12.0,13.0,9.0
SDSS,spec-55918-M31_025N30_M1_sp03-165.fits.gz_residual_highpass.txt,13000.0,31.0,8.0,13.0,9.0
SDSS,spec-56255-VB007N33V1_sp16-096.fits.gz_residual_highpass.txt,27000.0,25.0,6.0,8.0,9.0
SDSS,spec-59202-HD101111N061004B01_sp09-220.fits.gz_residual_highpass.txt,18000.0,34.0,13.0,14.0,19.0
SDSS,spec-56619-GAC058N31B1_sp13-060.fits.gz_residual_highpass.txt,31000.0,26.0,6.0,10.0,11.0
SDSS,spec-55909-M31_019N31_B1_sp13-089.fits.gz_residual_highpass.txt,18000.0,23.0,7.0,12.0,13.0
SDSS,spec-57279-GAC052N20M1_sp14-066.fits.gz_residual_highpass.txt,19000.0,33.0,13.0,15.0,11.0
SDSS,spec-57869-HD153553N111556M01_sp02-040.fits.gz_residual_highpass.txt,29000.0,32.0,9.0,12.0,9.0
SDSS,spec-57012-GAC100N17M1_sp06-182.fits.gz_residual_highpass.txt,22000.0,29.0,7.0,10.0,9.0
SDSS,spec-56561-EG233013N050046B01_sp15-225.fits.gz_residual_highpass.txt,35000.0,25.0,11.0,13.0,15.0
SDSS,spec-56778-HD151331N050239B01_sp12-187.fits.gz_residual_highpass.txt,38000.0,30.0,10.0,11.0,13.0
SDSS,spec-56568-EG023131N032619B01_sp09-016.fits.gz_residual_highpass.txt,15000.0,22.0,8.0,12.0,9.0
SDSS,spec-58456-KII090344N200347V01_sp01-240.fits.gz_residual_highpass.txt,23000.0,33.0,9.0,11.0,9.0
SDSS,spec-58485-KII112935N034647B01_sp06-147.fits.gz_residual_highpass.txt,29000.0,34.0,12.0,13.0,7.0
SDSS,spec-56957-M31011N44M1_sp02-174.fits.gz_residual_highpass.txt,15000.0,22.0,8.0,9.0,9.0
SDSS,spec-56302-GAC085N31B1_sp10-040.fits.gz_residual_highpass.txt,34000.0,27.0,8.0,10.0,9.0
SDSS,spec-59203-HD121209N203231M02_sp13-250.fits.gz_residual_highpass.txt,16000.0,31.0,12.0,14.0,11.0
SDSS,spec-57872-HD162301N323735M02_sp11-085.fits.gz_residual_highpass.txt,37000.0,22.0,7.0,10.0,5.0
SDSS,spec-57474-GAC111N10B1_sp08-146.fits.gz_residual_highpass.txt,32000.0,31.0,15.0,16.0,7.0
SDSS,spec-57427-GAC069N36B1_sp02-158.fits.gz_residual_highpass.txt,30000.0,27.0,10.0,13.0,11.0
SDSS,spec-57307-GAC083N27M1_sp16-015.fits.gz_residual_highpass.txt,23000.0,33.0,9.0,11.0,9.0
SDSS,spec-59226-HD115014N541509B02_sp03-238.fits.gz_residual_highpass.txt,18000.0,33.0,9.0,10.0,9.0
SDSS,spec-58401-EG013501N290602M01_sp09-116.fits.gz_residual_highpass.txt,32000.0,31.0,15.0,16.0,7.0
SDSS,spec-57401-GAC125N19B2_sp10-099.fits.gz_residual_highpass.txt,25000.0,23.0,8.0,15.0,19.0
SDSS,spec-57476-HD103517N212243B01_sp14-058.fits.gz_residual_highpass.txt,25000.0,23.0,8.0,15.0,19.0
SDSS,spec-58109-K2QSOB02_sp08-242.fits.gz_residual_highpass.txt,12000.0,30.0,8.0,12.0,9.0
SDSS,spec-57428-GAC105N15M1_sp15-102.fits.gz_residual_highpass.txt,27000.0,26.0,6.0,7.0,9.0
SDSS,spec-58844-TD104903N100928K01_sp06-113.fits.gz_residual_highpass.txt,15000.0,21.0,8.0,9.0,11.0
SDSS,spec-56663-EG023131N032619B04_sp09-016.fits.gz_residual_highpass.txt,24000.0,25.0,6.0,7.0,9.0
